               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.026391,            0.010046,           0.0030004,             0.97438,                 0.9,             0.94225,             0.60531,             0.01988,           0.0066256,            0.077168,           0.0005446,           0.0005446,           0.0005446
                  48,            0.026393,           0.0097494,           0.0029514,             0.97595,             0.90083,             0.95036,             0.60151,            0.020316,            0.006698,            0.078307,           0.0005347,           0.0005347,           0.0005347
                  49,            0.025913,           0.0098196,           0.0026296,             0.97651,             0.90073,             0.94086,             0.59298,            0.020138,            0.006537,            0.078156,           0.0005248,           0.0005248,           0.0005248
                  50,            0.026235,           0.0098551,           0.0031237,             0.97401,                 0.9,             0.94521,             0.59841,            0.021173,           0.0067231,            0.081793,           0.0005149,           0.0005149,           0.0005149
                  51,            0.025899,           0.0098968,           0.0025754,             0.97365,                 0.9,             0.94124,             0.59422,            0.020736,           0.0067737,            0.082483,            0.000505,            0.000505,            0.000505
                  52,            0.025927,           0.0098775,           0.0026878,             0.97298,                 0.9,             0.94593,             0.60618,            0.021039,           0.0068004,             0.08003,           0.0004951,           0.0004951,           0.0004951
                  53,            0.025721,           0.0099629,           0.0026511,             0.97296,                 0.9,             0.94437,             0.60182,            0.020292,           0.0068738,            0.078353,           0.0004852,           0.0004852,           0.0004852
                  54,            0.026325,           0.0098725,            0.002713,             0.97532,                 0.9,             0.94516,             0.60486,            0.021681,           0.0067681,            0.081341,           0.0004753,           0.0004753,           0.0004753
                  55,            0.025562,           0.0096379,           0.0026324,             0.97528,                 0.9,             0.92888,             0.60704,            0.021061,            0.006774,            0.082572,           0.0004654,           0.0004654,           0.0004654
                  56,            0.025868,           0.0096845,           0.0027009,             0.97362,             0.90086,             0.93998,             0.60043,             0.02157,           0.0067636,            0.081563,           0.0004555,           0.0004555,           0.0004555
                  57,            0.025416,           0.0096958,           0.0026091,             0.97585,             0.90057,             0.94747,             0.61245,             0.02098,           0.0068448,            0.080895,           0.0004456,           0.0004456,           0.0004456
                  58,            0.025528,           0.0097007,           0.0027709,             0.97452,             0.90083,             0.93907,             0.59976,            0.021569,           0.0067597,            0.078401,           0.0004357,           0.0004357,           0.0004357
                  59,             0.02542,           0.0097246,            0.002606,             0.97671,             0.90055,             0.95924,              0.6144,            0.021692,           0.0067401,            0.076073,           0.0004258,           0.0004258,           0.0004258
                  60,            0.025509,           0.0096925,           0.0025009,             0.97623,             0.90065,             0.93975,             0.59912,            0.022507,            0.006663,            0.083738,           0.0004159,           0.0004159,           0.0004159
                  61,            0.025222,           0.0096818,           0.0026984,             0.97627,             0.90039,             0.93641,             0.59248,            0.021444,           0.0068063,            0.079936,            0.000406,            0.000406,            0.000406
                  62,             0.02522,           0.0097757,           0.0024086,             0.97551,             0.90042,             0.93745,             0.59617,            0.021077,           0.0067711,            0.080091,           0.0003961,           0.0003961,           0.0003961
                  63,            0.025127,            0.009662,           0.0023078,             0.97647,             0.90049,             0.94634,             0.60238,            0.020987,           0.0068668,            0.081738,           0.0003862,           0.0003862,           0.0003862
                  64,            0.025093,           0.0097128,           0.0021989,              0.9763,              0.9007,             0.94547,             0.60129,            0.020569,           0.0066566,            0.083861,           0.0003763,           0.0003763,           0.0003763
                  65,            0.025037,           0.0097478,           0.0023039,              0.9757,             0.90066,             0.94711,             0.60227,            0.020892,           0.0067371,            0.080393,           0.0003664,           0.0003664,           0.0003664
                  66,            0.024901,           0.0096043,           0.0024014,             0.97648,             0.90069,             0.95121,             0.60213,            0.020902,           0.0067641,            0.078658,           0.0003565,           0.0003565,           0.0003565
                  67,            0.024991,           0.0096518,           0.0021839,              0.9725,                 0.9,             0.93132,              0.5877,             0.02087,           0.0067509,            0.083382,           0.0003466,           0.0003466,           0.0003466
                  68,            0.025184,           0.0095091,           0.0026785,              0.9751,                 0.9,             0.93487,             0.58456,            0.021316,           0.0068042,            0.084755,           0.0003367,           0.0003367,           0.0003367
                  69,            0.024828,           0.0095637,           0.0022332,             0.97509,                 0.9,             0.95224,             0.60345,            0.021143,           0.0067707,             0.08303,           0.0003268,           0.0003268,           0.0003268
                  70,            0.024806,            0.009661,           0.0021966,             0.97519,                 0.9,             0.94445,             0.59957,            0.021094,           0.0067581,            0.082001,           0.0003169,           0.0003169,           0.0003169
                  71,            0.024696,           0.0095683,           0.0021118,             0.97481,                 0.9,             0.92684,              0.5939,            0.020839,           0.0066582,            0.085312,            0.000307,            0.000307,            0.000307
                  72,            0.024673,           0.0095417,           0.0023181,             0.98923,             0.91667,             0.94734,             0.58626,            0.021378,           0.0066851,            0.084429,           0.0002971,           0.0002971,           0.0002971
                  73,            0.024537,           0.0095543,           0.0018644,             0.99086,             0.91667,             0.94471,              0.5882,            0.021791,           0.0067185,            0.084212,           0.0002872,           0.0002872,           0.0002872
                  74,            0.024608,            0.009522,           0.0020552,             0.97621,                 0.9,             0.91943,             0.58607,            0.021626,           0.0067354,            0.085047,           0.0002773,           0.0002773,           0.0002773
                  75,            0.024546,           0.0094952,           0.0020456,             0.99264,             0.91667,             0.93829,             0.58364,            0.022245,           0.0067517,            0.086772,           0.0002674,           0.0002674,           0.0002674
                  76,            0.024471,           0.0094452,           0.0020684,             0.99132,             0.91667,             0.94015,             0.58792,            0.021809,           0.0066562,            0.087263,           0.0002575,           0.0002575,           0.0002575
                  77,            0.024602,           0.0095188,           0.0019368,               0.992,             0.91667,             0.93694,             0.58802,            0.021858,           0.0066792,            0.086503,           0.0002476,           0.0002476,           0.0002476
                  78,            0.024277,           0.0095002,           0.0022831,             0.99194,             0.91667,             0.94079,             0.58773,            0.022245,           0.0067876,            0.085645,           0.0002377,           0.0002377,           0.0002377
                  79,             0.02437,           0.0094448,           0.0019528,             0.99116,             0.91667,             0.93989,             0.59443,            0.022372,           0.0067399,            0.086548,           0.0002278,           0.0002278,           0.0002278
                  80,            0.024264,           0.0094507,           0.0020186,             0.99064,             0.91667,             0.93657,             0.59578,             0.02202,           0.0067433,            0.087881,           0.0002179,           0.0002179,           0.0002179
